,City Name,latitude,longitude,temperature,humidity,windspeed,cloudiness,country,date
0,tuktoyaktuk,69.45,-133.04,5.0,80,2.1,90,CA,1600815249
1,vostok,46.49,135.88,8.64,92,1.17,95,RU,1600815249
2,thompson,55.74,-97.86,13.0,66,4.1,75,CA,1600815124
3,atuona,-9.8,-139.03,25.77,72,8.65,78,PF,1600815067
4,albany,42.6,-73.97,17.22,38,3.58,0,US,1600815093
5,east london,-33.02,27.91,15.7,67,2.91,2,ZA,1600815307
6,pec,42.66,20.29,13.0,82,1.5,40,XK,1600815307
7,barrow,71.29,-156.79,2.0,74,7.7,90,US,1600815108
8,punta arenas,-53.15,-70.92,8.0,65,5.7,75,CL,1600815307
9,beloha,-25.17,45.05,16.92,68,5.42,77,MG,1600815308
10,saint george,37.1,-113.58,33.89,16,7.7,1,US,1600815128
11,bosaso,11.28,49.18,31.21,56,2.44,86,SO,1600815308
12,port alfred,-33.59,26.89,14.34,73,1.84,0,ZA,1600815308
13,airai,-8.93,125.41,18.67,78,1.32,3,TL,1600815133
14,dikson,73.51,80.55,5.11,85,5.06,81,RU,1600815308
15,yerbogachen,61.28,108.01,4.65,93,1.57,1,RU,1600815309
16,puerto ayora,-0.74,-90.35,20.56,83,3.13,64,EC,1600815099
17,mataura,-46.19,168.86,13.89,79,4.47,71,NZ,1600815309
18,severo-kurilsk,50.68,156.12,10.25,75,4.84,33,RU,1600815309
19,sorong,-0.88,131.25,26.29,83,1.67,100,ID,1600815309
20,alofi,-19.06,-169.92,21.0,91,2.6,90,NU,1600815309
21,ushuaia,-54.8,-68.3,6.0,70,8.2,40,AR,1600815114
22,saint-philippe,-21.36,55.77,19.0,59,3.1,35,RE,1600815310
23,sitka,57.05,-135.33,15.0,54,10.3,90,US,1600815310
24,saldanha,-33.01,17.94,9.0,76,2.1,0,ZA,1600815146
25,tura,25.52,90.22,22.93,98,2.25,98,IN,1600815310
26,rikitea,-23.12,-134.97,22.7,74,8.47,100,PF,1600815310
27,kopavogur,64.11,-21.91,4.0,91,4.1,20,IS,1600815310
28,sinnamary,5.38,-52.95,26.73,81,6.82,4,GF,1600815195
29,vaini,-21.2,-175.2,24.0,83,5.7,75,TO,1600815311
30,carnarvon,-24.87,113.63,11.0,53,4.1,0,AU,1600815311
31,qaanaaq,77.48,-69.36,-10.46,79,3.55,0,GL,1600815311
32,chiredzi,-21.05,31.67,16.43,69,2.92,4,ZW,1600815311
33,avera,33.19,-82.53,21.0,64,1.05,1,US,1600815311
34,kodiak,57.79,-152.41,10.0,91,13.86,100,US,1600815311
35,ahipara,-35.17,173.17,17.14,71,5.68,20,NZ,1600815312
36,evinayong,1.44,10.55,20.22,99,1.35,100,GQ,1600815312
37,lebu,-37.62,-73.65,9.98,76,7.91,38,CL,1600815083
38,fairbanks,64.84,-147.72,11.67,61,1.5,1,US,1600815312
39,naze,28.37,129.48,27.0,83,8.2,40,JP,1600815312
40,hobart,-42.88,147.33,12.0,58,6.2,75,AU,1600815170
41,nyurba,63.28,118.33,5.37,80,1.81,0,RU,1600815313
42,mount gambier,-37.83,140.77,9.0,93,4.1,75,AU,1600815313
43,port elizabeth,-33.92,25.57,11.0,76,2.6,0,ZA,1600815313
44,hasaki,35.73,140.83,21.11,94,3.1,75,JP,1600815075
45,norman wells,65.28,-126.83,16.0,38,2.6,20,CA,1600815313
46,tigzirt,36.89,4.12,23.32,60,1.05,82,DZ,1600815313
47,okhotsk,59.38,143.3,10.02,79,2.02,6,RU,1600815122
48,macas,-2.32,-78.12,27.0,54,4.1,20,EC,1600815314
49,dalvik,65.97,-18.53,2.0,87,2.6,75,IS,1600815314
50,jamestown,42.1,-79.24,17.78,55,3.6,1,US,1600815314
51,bluff,-46.6,168.33,13.89,79,4.47,40,NZ,1600815314
52,puerto madero,14.72,-92.42,32.0,70,3.1,40,MX,1600815314
53,victoria,22.29,114.16,28.33,80,5.34,84,HK,1600815184
54,tilichiki,60.47,166.1,5.24,66,2.43,1,RU,1600815314
55,georgetown,5.41,100.34,25.0,88,3.42,20,MY,1600815315
56,ilulissat,69.22,-51.1,-6.0,73,0.5,41,GL,1600815315
57,cape town,-33.93,18.42,14.44,87,5.7,24,ZA,1600815315
58,barranca,-10.75,-77.77,16.19,83,3.02,21,PE,1600815315
59,mitsamiouli,-11.38,43.28,26.18,70,3.98,8,KM,1600815316
60,florianopolis,-27.61,-48.5,17.0,55,1.5,75,BR,1600815316
61,nikolskoye,59.7,30.79,11.11,93,2.0,67,RU,1600815316
62,walvis bay,-22.96,14.51,13.33,87,2.6,24,NA,1600815316
63,orito,0.68,-76.88,33.0,49,2.6,40,CO,1600815316
64,yatou,37.15,122.38,18.37,72,1.73,81,CN,1600815317
65,dali,25.7,100.18,16.76,88,0.79,100,CN,1600815317
66,saskylakh,71.92,114.08,5.68,73,6.99,0,RU,1600815067
67,ambilobe,-13.2,49.05,21.4,75,2.02,51,MG,1600815081
68,verkhnyaya inta,65.98,60.31,2.89,88,1.8,99,RU,1600815317
69,puerto baquerizo moreno,-0.9,-89.6,18.91,84,6.4,75,EC,1600815317
70,bethel,41.37,-73.41,19.0,29,3.6,1,US,1600815318
71,freeport,40.66,-73.58,22.0,28,3.6,1,US,1600815318
72,berlevag,70.86,29.09,6.82,87,3.92,75,NO,1600815318
73,haines junction,60.75,-137.51,10.23,56,1.51,100,CA,1600815318
74,bogovarovo,58.98,47.02,8.35,90,3.59,100,RU,1600815318
75,kavieng,-2.57,150.8,29.37,65,4.24,100,PG,1600815318
76,kralendijk,12.15,-68.27,31.0,74,9.3,88,BQ,1600815319
77,cayenne,4.93,-52.33,28.0,78,4.6,7,GF,1600815319
78,tautira,-17.73,-149.15,30.0,62,8.7,20,PF,1600815319
79,chapais,49.78,-74.85,16.0,59,3.1,1,CA,1600815319
80,constitucion,-35.33,-72.42,12.78,77,5.27,98,CL,1600815319
81,ouadda,8.08,22.4,20.66,93,0.66,100,CF,1600815320
82,mali,12.08,-12.3,16.01,100,1.34,1,GN,1600815320
83,hilo,19.73,-155.09,28.0,65,2.97,90,US,1600815201
84,almeirim,-1.52,-52.58,29.55,54,1.99,65,BR,1600815245
85,amahai,-3.33,128.92,28.89,93,1.01,26,ID,1600815320
86,busselton,-33.65,115.33,9.44,80,3.74,31,AU,1600815320
87,atasu,48.68,71.64,5.58,77,4.87,47,KZ,1600815320
88,hovd,48.01,91.64,10.95,46,2.68,23,MN,1600815321
89,medicine hat,50.05,-110.67,17.22,59,1.5,90,CA,1600815321
90,lazaro cardenas,17.96,-102.2,29.13,77,4.02,69,MX,1600815321
91,vardo,70.37,31.11,6.0,81,8.7,75,NO,1600815321
92,sar-e pul,35.83,66.17,5.19,67,0.15,0,AF,1600815321
93,kapaa,22.08,-159.32,30.0,62,5.7,1,US,1600815321
94,lagoa,39.05,-27.98,20.33,90,6.42,91,PT,1600815322
95,longyearbyen,78.22,15.64,-3.02,92,1.34,0,SJ,1600815081
96,kaitangata,-46.28,169.85,13.09,76,2.14,73,NZ,1600815320
97,machiques,10.06,-72.55,28.24,71,1.33,100,VE,1600815322
98,mana,5.66,-53.78,26.96,80,6.31,33,GF,1600815322
99,kahului,20.89,-156.47,32.0,52,11.3,40,US,1600815178
100,enkoping,59.64,17.08,12.0,76,4.1,60,SE,1600815322
